tip_x,tip_y,tip_position,crack_length,crack_area,ctod_10px,ctod_20px,ctod_30px,ctod_40px,ctod_50px,ctod,crack_width,tip_radius,frame
214.2,89.46,"(89.46, np.float64(214.2))",78.12,438.9714,4.41,1.26,4.41,7.5600000000000005,8.19,1.26,10.71,16.807642056641754,0
213.57,89.46,"(89.46, np.float64(213.57))",76.23,509.61960000000005,6.93,6.3,6.93,8.19,8.19,6.3,11.97,22.087053210946173,1
212.94,90.09,"(90.09, np.float64(212.94))",78.12,563.5980000000001,8.19,5.67,7.5600000000000005,8.82,8.82,5.67,11.97,22.466270121492155,2
215.46,90.09,"(90.09, np.float64(215.46))",76.86,462.78540000000004,5.04,3.7800000000000002,5.04,6.93,7.5600000000000005,3.7800000000000002,10.08,16.79592238910541,3
214.2,89.46,"(89.46, np.float64(214.2))",78.12,521.9235,5.67,5.67,7.5600000000000005,8.19,7.5600000000000005,5.67,10.08,24.820106954752873,4
213.57,89.46,"(89.46, np.float64(213.57))",67.41,455.2443,6.93,6.93,6.93,8.19,7.5600000000000005,6.93,10.71,24.491148703985317,5
212.94,89.46,"(89.46, np.float64(212.94))",78.75,528.2739,7.5600000000000005,5.67,6.93,7.5600000000000005,8.19,5.67,10.71,15.458575693890694,6
213.57,89.46,"(89.46, np.float64(213.57))",76.86,483.42420000000004,6.3,5.67,6.93,7.5600000000000005,7.5600000000000005,5.67,10.71,15.716023385580673,7
214.2,90.09,"(90.09, np.float64(214.2))",75.6,491.36220000000003,6.3,5.04,6.93,8.19,8.19,5.04,10.08,16.011760168889975,8
212.31,89.46,"(89.46, np.float64(212.31))",80.01,555.2631,8.82,6.93,6.93,8.19,8.19,6.93,11.34,16.799844128247596,9
214.2,89.46,"(89.46, np.float64(214.2))",75.6,462.78540000000004,5.67,5.04,6.93,7.5600000000000005,7.5600000000000005,5.04,9.45,24.226314116858386,10
214.2,90.09,"(90.09, np.float64(214.2))",76.23,505.65060000000005,5.67,5.04,6.3,8.19,8.82,5.04,10.71,16.111136801214634,11
214.2,89.46,"(89.46, np.float64(214.2))",74.34,431.03340000000003,5.04,3.7800000000000002,5.67,6.93,7.5600000000000005,3.7800000000000002,10.08,16.54465172098921,12
214.2,89.46,"(89.46, np.float64(214.2))",78.75,533.4336000000001,5.67,5.04,8.19,9.45,8.82,5.04,10.71,16.19819231472039,13
213.57,89.46,"(89.46, np.float64(213.57))",79.38,486.20250000000004,6.3,6.3,6.3,6.3,6.93,6.3,10.08,21.721693559695016,14
212.94,90.72,"(90.72, np.float64(212.94))",81.9,579.0771000000001,8.82,6.3,6.3,8.19,8.19,6.3,11.34,14.517758780992898,15
213.57,90.09,"(90.09, np.float64(213.57))",79.38,496.91880000000003,6.3,3.15,6.3,8.19,6.93,3.15,10.08,16.46711435953948,16
214.83,90.09,"(90.09, np.float64(214.83))",74.97,438.17760000000004,5.67,3.7800000000000002,6.93,8.82,8.19,3.7800000000000002,10.71,22.09660838534173,17
213.57,89.46,"(89.46, np.float64(213.57))",76.86,492.94980000000004,6.93,4.41,5.67,6.93,7.5600000000000005,4.41,10.08,21.43999878910632,18
213.57,89.46,"(89.46, np.float64(213.57))",73.08,535.4181000000001,6.93,7.5600000000000005,6.93,8.82,8.19,7.5600000000000005,11.34,16.04016385921414,19
214.83,90.09,"(90.09, np.float64(214.83))",76.86,432.62100000000004,4.41,3.15,5.67,6.93,8.19,3.15,9.45,21.428995371866908,20
213.57,89.46,"(89.46, np.float64(213.57))",76.86,437.7807,6.3,4.41,5.67,5.67,6.3,4.41,10.71,22.176177499514104,21
215.46,90.09,"(90.09, np.float64(215.46))",74.97,468.34200000000004,5.04,5.04,6.93,8.19,8.19,5.04,10.08,16.815260983375705,22
213.57,89.46,"(89.46, np.float64(213.57))",74.97,416.745,5.67,3.7800000000000002,5.67,6.93,6.93,3.7800000000000002,9.45,21.447889799685242,23
212.94,90.09,"(90.09, np.float64(212.94))",75.6,503.66610000000003,7.5600000000000005,6.3,6.3,8.19,7.5600000000000005,6.3,10.71,22.73195995131643,24
212.94,89.46,"(89.46, np.float64(212.94))",80.01,511.20720000000006,7.5600000000000005,5.04,5.04,6.93,6.93,5.04,10.71,21.97936609819152,25
